门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大一店,素菜,蔬菜类,10140009,69009,蔬菜拼盘,整份,,,,,,
加拿大一店,荤菜,丸滑类,9020154,31157,丸类拼盘,整份,,,,,,8.19
加拿大一店,荤菜,河/海鲜类,9030373,32391,大满足海陆拼盘,整份,,,,,,
加拿大一店,小吃甜品,主食类,14090098,84277,手工鲜虾云吞,整份,,,,1501055,鲜虾抄手（45个/包）,份
加拿大一店,0,0,11010422,50422,炸蛋,颗,,,,1500781,咖色鸡蛋（30颗*6板/箱）,
加拿大一店,荤菜,丸滑类,70001698,79582,手工现做牛筋丸,整份,,,,4515419,去肥黄瓜条（LB）,10.95
加拿大一店,荤菜,丸滑类,70001698,79583,手工现做牛筋丸（半）,半份,,,,4515419,去肥黄瓜条（LB）,10.95
加拿大一店,荤菜,河/海鲜类,9020518,31869,温哥华蟹(时价/每磅),磅,,,,1501193,BC肉蟹（LB）,82.48
加拿大一店,荤菜,河/海鲜类,9030189,33253,象拔蚌(时价/每磅),整份,,,,4504673,象拔蚌（LB）,份
加拿大一店,素菜,豆面制品,3010027,20027,捞派捞面,条,,,,4017892,捞面面节（三全，2.5KG*4包/件）,
加拿大一店,0,0,10010285,40303,菠菜捞面,条,,,,,,
加拿大一店,素菜,菌类,10020005,41005,木耳,整份,,,,1500826,木耳（5LB/包）,
加拿大一店,,,9010191,30227,A5宫崎和牛,整份,,,,4502210,,份
加拿大一店,0,0,13010130,70128,鸿运当头,整份,,,,4209662,,
加拿大一店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,4514409,,锅
加拿大一店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,4517139,,锅
加拿大一店,,,90001518,1002777,麻辣豆花鱼火锅,单锅,,,,3002747,无渣调味粉（28G*120包/件，加拿大内用）,锅
